symbol,date,y1,ret1,pred,p_down,p_flat,p_up,train_rows,best_iter,test_month,correct
2454,2026-04-17,0.0,-0.012987012987012991,2,0.34604528095138914,0.3020568100781883,0.35189790897042256,857,5,2026-04,0
2454,2026-04-20,2.0,0.10000000000000009,2,0.3231771461262247,0.30994332388364915,0.3668795299901261,857,5,2026-04,1
2454,2026-04-21,2.0,0.09808612440191378,0,0.34438353759559487,0.32285833574275236,0.33275812666165283,857,5,2026-04,0
2454,2026-04-22,0.0,-0.034858387799564294,0,0.33731955199361524,0.3367478468390427,0.32593260116734213,857,5,2026-04,1
2454,2026-04-23,2.0,0.09932279909706554,2,0.33464484108631015,0.3143940309236987,0.35096112798999113,857,5,2026-04,1
2454,2026-04-24,1.0,0.0,0,0.3347064386313798,0.3341391623051092,0.33115439906351096,857,5,2026-04,0
2454,2026-04-27,2.0,0.07392197125256672,2,0.33935186141091217,0.3149923782925298,0.3456557602965581,857,5,2026-04,1
2454,2026-04-28,0.0,-0.015296367112810683,2,0.333142548770926,0.33285511066314893,0.33400234056592504,857,5,2026-04,0
2454,2026-04-29,2.0,0.013592233009708687,2,0.3393087837729507,0.3131421645188528,0.34754905170819655,857,5,2026-04,1
2454,2026-04-30,2.0,0.09961685823754785,0,0.3588724522337334,0.30919311143183226,0.33193443633443437,857,5,2026-04,0
2882,2026-04-01,1.0,-0.0013908205841447474,2,0.2895401392034844,0.32995479785911974,0.3805050629373959,857,5,2026-04,0
2882,2026-04-02,1.0,0.001392757660167332,2,0.3058717009289649,0.33236901081153747,0.3617592882594976,857,5,2026-04,0
2882,2026-04-07,2.0,0.02642559109874809,0,0.3425467380899662,0.33545894212703103,0.3219943197830027,857,5,2026-04,0
2882,2026-04-08,1.0,-0.0027100271002710175,2,0.34701942937097435,0.30185829829058985,0.3511222723384359,857,5,2026-04,0
2882,2026-04-09,0.0,-0.009510869565217184,2,0.33482919450450427,0.3204862723677493,0.34468453312774633,857,5,2026-04,0
2882,2026-04-10,0.0,-0.012345679012345734,0,0.34275443917444604,0.33741799860585087,0.3198275622197031,857,5,2026-04,1
2882,2026-04-13,2.0,0.009722222222222188,0,0.3616596555055063,0.32654221758520263,0.3117981269092911,857,5,2026-04,0
2882,2026-04-14,1.0,0.0027510316368639653,0,0.3648662651353089,0.32552842310443786,0.3096053117602532,857,5,2026-04,0
2882,2026-04-15,2.0,0.017832647462276974,2,0.3301466523197192,0.3327755319015395,0.33707781577874124,857,5,2026-04,1
2882,2026-04-16,2.0,0.010781671159029615,0,0.3433567330873532,0.3142045669935449,0.34243869991910186,857,5,2026-04,0
2882,2026-04-17,0.0,-0.005333333333333412,0,0.3417356383140073,0.3174424222178618,0.3408219394681309,857,5,2026-04,1
2882,2026-04-20,2.0,0.012064343163538993,1,0.33654350525146987,0.3366712251646848,0.32678526958384535,857,5,2026-04,0
2882,2026-04-21,2.0,0.005298013245033095,0,0.34042171646115876,0.324926533602819,0.3346517499360223,857,5,2026-04,0
2882,2026-04-22,0.0,-0.01449275362318847,2,0.3204093860151109,0.33725813255712905,0.34233248142776007,857,5,2026-04,0
2882,2026-04-23,1.0,0.0013368983957220415,0,0.3424248590472607,0.3295533624182092,0.32802177853453013,857,5,2026-04,0
2882,2026-04-24,0.0,-0.005340453938584844,0,0.35945717615208006,0.3456507270533142,0.2948920967946058,857,5,2026-04,1
2882,2026-04-27,1.0,0.0026845637583892135,1,0.3316255491874868,0.35572121437382803,0.3126532364386851,857,5,2026-04,1
2882,2026-04-28,2.0,0.052208835341365445,1,0.3201569815189537,0.3546543462745516,0.3251886722064946,857,5,2026-04,0
2882,2026-04-29,0.0,-0.01781170483460548,2,0.3301428409507167,0.31333163026399036,0.356525528785293,857,5,2026-04,0
2882,2026-04-30,0.0,-0.012953367875647714,1,0.3441985399288746,0.3483890901502418,0.3074123699208836,857,5,2026-04,0
2603,2026-04-01,0.0,-0.009779951100244544,2,0.2891310465378667,0.3365418344294169,0.3743271190327164,857,5,2026-04,0
2603,2026-04-02,1.0,0.0024691358024691024,1,0.3099149606688993,0.35017715618343903,0.3399078831476618,857,5,2026-04,1
2603,2026-04-07,1.0,-0.0049261083743842304,1,0.3276276871870725,0.33819768933464756,0.3341746234782799,857,5,2026-04,1
2603,2026-04-08,1.0,0.004950495049504955,1,0.3333381558978181,0.33526039710254,0.33140144699964197,857,5,2026-04,1
2603,2026-04-09,1.0,-0.0024630541871921707,1,0.3383135455972942,0.34308015242379797,0.3186063019789079,857,5,2026-04,1
2603,2026-04-10,0.0,-0.012345679012345734,2,0.3239177685087137,0.33160281155270027,0.344479419938586,857,5,2026-04,0
2603,2026-04-13,1.0,0.004999999999999893,2,0.32510772569547997,0.3363139125188095,0.33857836178571055,857,5,2026-04,0
2603,2026-04-14,2.0,0.00995024875621886,2,0.32371195314855983,0.3341251969736527,0.3421628498777875,857,5,2026-04,1
2603,2026-04-15,0.0,-0.007389162561576401,1,0.3297617769902562,0.3555749697870933,0.3146632532226505,857,5,2026-04,0
2603,2026-04-16,0.0,-0.017369727047146455,0,0.35180747956700353,0.3164351666450857,0.3317573537879109,857,5,2026-04,1
2603,2026-04-17,0.0,-0.005050505050505083,0,0.36239538812516686,0.30497519182898836,0.3326294200458447,857,5,2026-04,1
2603,2026-04-20,2.0,0.02284263959390853,2,0.3066724918009407,0.33635213113138607,0.3569753770676732,857,5,2026-04,1
2603,2026-04-21,1.0,0.002481389578163684,2,0.332222128499175,0.33138782876412853,0.3363900427366964,857,5,2026-04,0
2603,2026-04-22,1.0,-0.004950495049504955,1,0.31120792312457246,0.3575816746386552,0.33121040223677234,857,5,2026-04,1
2603,2026-04-23,1.0,0.0024875621890547706,2,0.3461141995599183,0.30260303214431156,0.3512827682957702,857,5,2026-04,0
2603,2026-04-24,0.0,-0.00992555831265507,1,0.3210366954006641,0.346863522047984,0.3320997825513519,857,5,2026-04,0
2603,2026-04-27,1.0,0.0025062656641603454,1,0.3182319341582538,0.3589864526228546,0.3227816132188916,857,5,2026-04,1
2603,2026-04-28,2.0,0.007500000000000062,1,0.32412411002686603,0.35300812376851626,0.3228677662046177,857,5,2026-04,0
2603,2026-04-29,1.0,0.002481389578163684,1,0.31412130863722304,0.3520550059967237,0.33382368536605317,857,5,2026-04,1
2603,2026-04-30,2.0,0.01980198019801982,0,0.3576146864245325,0.3319005709509105,0.310484742624557,857,5,2026-04,0
2308,2026-04-01,0.0,-0.03050847457627115,2,0.3043812040345212,0.32735562627768955,0.36826316968778927,857,5,2026-04,0
2308,2026-04-02,2.0,0.05944055944055937,2,0.3282781832473164,0.3256070004194883,0.34611481633319524,857,5,2026-04,1
2308,2026-04-07,2.0,0.0990099009900991,0,0.3378563711508517,0.3275650823548228,0.33457854649432556,857,5,2026-04,0
2308,2026-04-08,0.0,-0.012012012012011963,2,0.32066312074063635,0.3360219289707906,0.34331495028857306,857,5,2026-04,0
2308,2026-04-09,2.0,0.054711246200607855,2,0.3226559846473755,0.3173868069378548,0.35995720841476964,857,5,2026-04,1
2308,2026-04-10,1.0,0.0028818443804035088,2,0.3259926573841704,0.33218786527486055,0.3418194773409691,857,5,2026-04,0
2308,2026-04-13,2.0,0.005747126436781658,1,0.3271690002970716,0.3472889154847141,0.32554208421821423,857,5,2026-04,0
2308,2026-04-14,2.0,0.020000000000000018,2,0.30965151101118404,0.32744949739213325,0.3628989915966827,857,5,2026-04,1
2308,2026-04-15,2.0,0.03361344537815136,2,0.30965151101118404,0.32744949739213325,0.3628989915966827,857,5,2026-04,1
2308,2026-04-16,1.0,-0.0027100271002710175,0,0.3390643516414992,0.32731879495570737,0.3336168534027935,857,5,2026-04,0
2308,2026-04-17,2.0,0.032608695652173836,0,0.3442325782959794,0.3204311047409944,0.33533631696302624,857,5,2026-04,0
2308,2026-04-20,2.0,0.06052631578947376,0,0.3395473574625924,0.3307199353606167,0.3297327071767909,857,5,2026-04,0
2308,2026-04-21,1.0,0.0,2,0.3269569679509702,0.33363942223297405,0.3394036098160558,857,5,2026-04,0
2308,2026-04-22,0.0,-0.017369727047146455,2,0.3291640776022788,0.3236896947283314,0.34714622766938974,857,5,2026-04,0
2308,2026-04-23,2.0,0.04797979797979801,2,0.33185503632259405,0.3117730493412317,0.3563719143361743,857,5,2026-04,1
2308,2026-04-24,0.0,-0.026506024096385583,0,0.34151120663911805,0.33581225706281853,0.3226765362980634,857,5,2026-04,1
2308,2026-04-27,2.0,0.051980198019802026,0,0.3401554579674865,0.3282618698768498,0.33158267215566367,857,5,2026-04,0
2308,2026-04-28,2.0,0.018823529411764683,1,0.33415307339712197,0.33926988351817083,0.3265770430847072,857,5,2026-04,0
2308,2026-04-29,1.0,0.0,0,0.3438242645390792,0.33765982099236796,0.3185159144685528,857,5,2026-04,0
2308,2026-04-30,2.0,0.025404157043879882,0,0.3629491215944503,0.30134577943610735,0.3357050989694424,857,5,2026-04,0
2330,2026-05-04,0.0,-0.01098901098901095,2,0.3385201130863132,0.3100692669610824,0.3514106199526045,977,12,2026-05,0
2330,2026-05-05,1.0,0.0,2,0.31369181190428175,0.2676981888405415,0.4186099992551767,977,12,2026-05,0
2330,2026-05-06,2.0,0.026666666666666616,0,0.3583218562569112,0.29356771661336495,0.3481104271297239,977,12,2026-05,0
2330,2026-05-07,0.0,-0.008658008658008698,2,0.3204723907714709,0.3008455327533508,0.3786820764751784,977,12,2026-05,0
2330,2026-05-08,0.0,-0.024017467248908297,0,0.3749673449172274,0.3119383319260152,0.3130943231567574,977,12,2026-05,1
2330,2026-05-11,2.0,0.008948545861297452,0,0.3712737730300812,0.2873814282565823,0.34134479871333645,977,12,2026-05,0
2330,2026-05-12,0.0,-0.01552106430155209,0,0.37927401975187436,0.27401549844748124,0.34671048180064434,977,12,2026-05,1
2330,2026-05-13,2.0,0.022522522522522515,0,0.3887264364202766,0.284219634945402,0.32705392863432137,977,12,2026-05,0
2330,2026-05-14,1.0,-0.0022026431718061845,0,0.38682759560460306,0.2794682133945144,0.33370419100088244,977,12,2026-05,0
2330,2026-05-15,0.0,-0.01103752759381893,2,0.3623292928259568,0.2519162442709936,0.38575446290304977,977,12,2026-05,0
2330,2026-05-18,0.0,-0.015625,0,0.3960573942420882,0.272266343304982,0.3316762624529298,977,12,2026-05,1
2330,2026-05-19,0.0,-0.009070294784580546,0,0.3862614340633696,0.28163315987193543,0.3321054060646951,977,12,2026-05,1
2330,2026-05-20,2.0,0.020594965675057253,0,0.35220696085932696,0.29899673026809026,0.3487963088725829,977,12,2026-05,0
